mir-633,MIPF0000546
mir-649,MIPF0000547
mir-422,MIPF0000548
mir-639,MIPF0000549
mir-627,MIPF0000550
mir-554,MIPF0000551
mir-767,MIPF0000552
mir-618,MIPF0000553
mir-887,MIPF0000554
mir-567,MIPF0000555
mir-644,MIPF0000556
mir-619,MIPF0000557
mir-1307,MIPF0000558
mir-1285,MIPF0000559
mir-937,MIPF0000560
mir-573,MIPF0000561
mir-604,MIPF0000562
mir-587,MIPF0000563
mir-1421,MIPF0000564
mir-1422,MIPF0000565
mir-310,MIPF0000566
mir-1861,MIPF0000567
mir-1300,MIPF0000568
mir-1244,MIPF0000569
mir-1419,MIPF0000570
mir-1882,MIPF0000571
mir-312,MIPF0000573
mir-1420,MIPF0000574
mir-1428,MIPF0000575
mir-566,MIPF0000576
mir-1846,MIPF0000577
mir-1233,MIPF0000578
mir-1273,MIPF0000579
mir-1862,MIPF0000580
mir-1520,MIPF0000581
mir-1919,MIPF0000582
mir-555,MIPF0000583
mir-1297,MIPF0000584
mir-1237,MIPF0000585
mir-575,MIPF0000586
mir-1282,MIPF0000587
mir-932,MIPF0000588
mir-1324,MIPF0000589
mir-613,MIPF0000590
mir-1278,MIPF0000591
mir-1184,MIPF0000592
mir-1234,MIPF0000593
mir-1256,MIPF0000594
mir-1262,MIPF0000595
mir-1207,MIPF0000596
mir-637,MIPF0000597
mir-1298,MIPF0000598
mir-1291,MIPF0000599
mir-634,MIPF0000600
mir-1178,MIPF0000601
mir-1274,MIPF0000602
mir-1294,MIPF0000603
mir-1284,MIPF0000604
mir-646,MIPF0000605
mir-935,MIPF0000606
mir-531,MIPF0000607
mir-1303,MIPF0000608
mir-1205,MIPF0000609
mir-1290,MIPF0000610
mir-1253,MIPF0000611
mir-564,MIPF0000612
mir-1202,MIPF0000613
mir-1254,MIPF0000614
mir-1266,MIPF0000615
mir-925,MIPF0000616
mir-1323,MIPF0000617
mir-1259,MIPF0000618
mir-622,MIPF0000619
mir-1245,MIPF0000620
mir-1251,MIPF0000621
mir-1248,MIPF0000622
mir-561,MIPF0000623
mir-762,MIPF0000624
mir-1299,MIPF0000625
mir-1289,MIPF0000626
mir-1246,MIPF0000627
mir-1208,MIPF0000628
mir-739,MIPF0000629
mir-1745,MIPF0000630
mir-621,MIPF0000631
mir-1179,MIPF0000632
mir-1203,MIPF0000633
mir-1206,MIPF0000634
mir-1329,MIPF0000635
mir-1727,MIPF0000636
mir-B1,MIPF0000637
mir-1318,MIPF0000638
mir-1756,MIPF0000639
mir-1267,MIPF0000640
mir-591,MIPF0000641
mir-1397,MIPF0000642
